Area,N,P205,K2SO4,CaO,MgO,Zn,Qfe,B,Rendimiento
3.29,171,47,157,20,31,8,2,4,c
3.29,258,76,225,30,37,8,2.7,3,d
3.29,188,54,171,99,38,1.2,0.2,3,e
3.29,175,47,177,20,40,8,2,4,f
3.29,197,54,171,99,38,1.2,2,3,f
3.29,210,78,170,8,35,8,2.7,3,h
3.29,273,76,260,30,37,8,2.7,3,h
3.29,197,54,181,99,35.5,1.2,2,3,i
3.11,258,76,225,30,37,8,2.7,3,b
3.11,171,47,157,20,31,8,2,4,c
3.11,188,54,171,99,38,1.2,0.2,3,e
3.11,175,47,177,20,40,8,2,4,f
3.11,197,54,171,99,38,1.2,2,3,f
3.11,210,78,170,8,35,8,2.7,3,f
3.11,273,76,260,30,37,8,2.7,3,g
3.11,197,54,181,99,35.5,1.2,2,3,i
2.93,171,47,157,20,31,8,2,4,b
2.93,258,76,225,30,37,8,2.7,3,b
2.93,188,54,171,99,38,1.2,0.2,3,e
2.93,175,47,177,20,40,8,2,4,f
2.93,197,54,171,99,38,1.2,2,3,f
2.93,210,78,170,8,35,8,2.7,3,f
2.93,273,76,260,30,37,8,2.7,3,g
2.93,197,54,181,99,35.5,1.2,2,3,i
2.79,258,76,225,30,37,8,2.7,3,b
2.79,171,47,157,20,31,8,2,4,c
2.79,197,54,171,99,38,1.2,2,3,e
2.79,188,54,171,99,38,1.2,0.2,3,e
2.79,210,78,170,8,35,8,2.7,3,e
2.79,175,47,177,20,40,8,2,4,f
2.79,197,54,181,99,35.5,1.2,2,3,h
2.79,273,76,260,30,37,8,2.7,3,h
2.58,171,47,157,20,31,8,2,4,c
2.58,188,54,171,99,38,1.2,0.2,3,c
2.58,258,76,225,30,37,8,2.7,3,c
2.58,197,54,171,99,38,1.2,2,3,e
2.58,175,47,177,20,40,8,2,4,f
2.58,273,76,260,30,37,8,2.7,3,f
2.58,197,54,181,99,35.5,1.2,2,3,g
2.58,210,78,170,8,35,8,2.7,3,g
2.52,171,47,157,20,31,8,2,4,b
2.52,188,54,171,99,38,1.2,0.2,3,c
2.52,258,76,225,30,37,8,2.7,3,c
2.52,175,47,177,20,40,8,2,4,e
2.52,197,54,171,99,38,1.2,2,3,e
2.52,210,78,170,8,35,8,2.7,3,f
2.52,273,76,260,30,37,8,2.7,3,f
2.52,197,54,181,99,35.5,1.2,2,3,g
2.38,171,47,157,20,31,8,2,4,b
2.38,258,76,225,30,37,8,2.7,3,b
2.38,188,54,171,99,38,1.2,0.2,3,c
2.38,197,54,171,99,38,1.2,2,3,d
2.38,175,47,177,20,40,8,2,4,e
2.38,210,78,170,8,35,8,2.7,3,e
2.38,197,54,181,99,35.5,1.2,2,3,f
2.38,273,76,260,30,37,8,2.7,3,f
2.37,258,76,225,30,37,8,2.7,3,b
2.37,171,47,157,20,31,8,2,4,c
2.37,188,54,171,99,38,1.2,0.2,3,d
2.37,210,78,170,8,35,8,2.7,3,d
2.37,175,47,177,20,40,8,2,4,e
2.37,197,54,171,99,38,1.2,2,3,e
2.37,273,76,260,30,37,8,2.7,3,e
2.37,197,54,181,99,35.5,1.2,2,3,f
