Area,N,P205,K2SO4,CaO,MgO,Zn,Qfe,Rendimiento
0.87,171,47,157,20,31,8,2,12067
0.87,175,47,177,20,40,8,2,18219
0.87,197,54,181,99,35.5,1.2,2,14090
0.87,197,54,171,99,38,1.2,2,10320
0.87,188,54,171,99,38,1.2,0.2,9340
0.87,210,78,170,8,35,8,2.7,16435
0.87,273,76,260,30,37,8,2.7,19398
0.87,258,76,225,30,37,8,2.7,5395
0.28,171,47,157,20,31,8,2,3710.6
0.28,175,47,177,20,40,8,2,5302.09
0.28,197,54,181,99,35.5,1.2,2,4200
0.28,197,54,171,99,38,1.2,2,2150
0.28,188,54,171,99,38,1.2,0.2,3211.24
0.28,210,78,170,8,35,8,2.7,2800
0.28,273,76,260,30,37,8,2.7,3690
0.28,258,76,225,30,37,8,2.7,1160
0.67,171,47,157,20,31,8,2,7486.2
0.67,175,47,177,20,40,8,2,13944.21
0.67,197,54,181,99,35.5,1.2,2,11340
0.67,197,54,171,99,38,1.2,2,9460
0.67,188,54,171,99,38,1.2,0.2,11941.14
0.67,210,78,170,8,35,8,2.7,10800
0.67,273,76,260,30,37,8,2.7,15990
0.67,258,76,225,30,37,8,2.7,5395
1.96,171,47,157,20,31,8,2,17876
1.96,175,47,177,20,40,8,2,36403.33
1.96,197,54,181,99,35.5,1.2,2,28140
1.96,197,54,171,99,38,1.2,2,42500
1.96,188,54,171,99,38,1.2,0.2,22362
1.96,210,78,170,8,35,8,2.7,29600
1.96,273,76,260,30,37,8,2.7,31027
1.96,258,76,225,30,37,8,2.7,16185
1.58,171,47,157,20,31,8,2,13520
1.58,175,47,177,20,40,8,2,30379
1.58,197,54,181,99,35.5,1.2,2,23520
1.58,197,54,171,99,38,1.2,2,23650
1.58,188,54,171,99,38,1.2,0.2,18409
1.58,210,78,170,8,35,8,2.7,23600
1.58,273,76,260,30,37,8,2.7,37039
1.58,258,76,225,30,37,8,2.7,10790
1.93,171,47,157,20,31,8,2,12150
1.93,175,47,177,20,40,8,2,32950
1.93,197,54,181,99,35.5,1.2,2,28560
1.93,197,54,171,99,38,1.2,2,28380
1.93,188,54,171,99,38,1.2,0.2,26352
1.93,210,78,170,8,35,8,2.7,29200
1.93,273,76,260,30,37,8,2.7,30303.5
